place,cells,people,med_depth,max_depth,buildings,km2
Tronica City,1048,118.88798,0.3161087,2.782013,5,0.9432
Bhalswa,39,79.63381,0.25386047,1.8699799,0,0.0351
Ibrahimpur,1092,79.06101,0.35526276,2.4932404,1,0.9828
Jahangir Puri,14,51.03002,0.91095734,2.3365326,0,0.0126
Wazirabad,667,39.289642,0.3113556,3.323578,2,0.6003
Rameshwar Park,29,13.438606,0.3850708,1.103653,0,0.0261
Swaroop Nagar,13,12.277117,0.24623108,1.1664429,0,0.0117
Jawli,323,10.268462,0.27264404,1.8242493,3,0.2907
Alipur,95,9.10369,0.2631073,1.0493469,1,0.0855
Bhenara Khurd,185,6.854945,0.33161926,2.7073364,0,0.1665
Siraspur,19,3.5651612,0.15335083,0.51379395,0,0.0171
Sanjay Gandhi Transport Nagar,1,0.81839925,0.4844513,0.4844513,0,0.0009
Rajpur,11,0.2747599,0.25115967,1.387085,1,0.0099
