place,cells,people,med_depth,max_depth,buildings,km2
Biddupur,23301,16654.03,1.4266205,6.878948,2013,20.9709
Fatuha,60892,15963.795,0.56749725,9.199867,1431,54.8028
Hajipur,17498,11128.998,0.8150139,8.199867,1145,15.7482
Bidupur,16147,6058.9023,1.1500282,8.699867,573,14.5323
Ranipur,8350,3681.4314,0.25382805,3.6469269,769,7.515
Mehdiganj,1208,1629.0114,0.5588398,8.699867,187,1.0872
Sampatchak,3902,1057.0712,0.19713783,6.6998672,63,3.5118
Punpun,706,942.9985,2.5082893,4.1998672,18,0.6354
Hakimganj,2953,699.31213,1.0419235,8.699867,164,2.6577
Rajendra Nagar,1442,485.26227,2.6647167,8.199867,39,1.2978
Dighwara,7976,473.0002,2.2417965,4.9089203,36,7.1784
Patna,2123,258.10184,1.204155,7.1998672,22,1.9107
Danapur,1940,192.87354,1.9063511,6.1998672,42,1.746
Digha,1831,126.035126,3.1341782,6.6998672,42,1.6479
Sonepur,3079,79.40108,1.1948776,7.1998672,59,2.7711
Naubatpur,135,59.18433,0.69986725,1.1998672,9,0.1215
Neora,179,3.6953192,3.6998672,3.6998672,1,0.1611
Walmi Complex,21,1.7175101,1.6998672,1.6998672,0,0.0189
